date,model,home_team,away_team,home_score,away_score,tournament,neutral,home_rating_before,away_rating_before,expected_home,actual_home,expected_away,actual_away,favorite_side,favorite_status_home,favorite_status_away,k_effective,home_rating_after,away_rating_after,home_delta,away_delta
2014-01-01,adjusted_elo,Kuwait,Jordan,1,2,WAFF Championship,True,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
2014-01-04,adjusted_elo,Bahrain,Jordan,0,1,WAFF Championship,True,1500.0,1515.0,0.4784,0.0,0.5216,1.0,away,underdog,favorite,30.0,1485.647,1529.353,-14.353,14.353
2014-01-04,adjusted_elo,Namibia,Ghana,0,1,Friendly,False,1500.0,1500.0,0.5715,0.0,0.4285,1.0,even,even,even,18.0,1489.714,1510.286,-10.286,10.286
2014-01-04,adjusted_elo,Nigeria,Ethiopia,2,1,Friendly,False,1500.0,1500.0,0.5715,1.0,0.4285,0.0,even,even,even,18.0,1507.714,1492.286,7.714,-7.714
2014-01-04,adjusted_elo,Qatar,Kuwait,3,0,WAFF Championship,False,1500.0,1485.0,0.5925,1.0,0.4075,0.0,home,favorite,underdog,41.481,1516.905,1468.095,16.905,-16.905
2014-01-07,adjusted_elo,Bahrain,Kuwait,0,0,WAFF Championship,True,1485.647,1468.095,0.5252,0.5,0.4748,0.5,home,favorite,underdog,30.0,1484.89,1468.852,-0.757,0.757
2014-01-07,adjusted_elo,Qatar,Jordan,2,0,WAFF Championship,False,1516.905,1529.353,0.5538,1.0,0.4462,0.0,away,underdog,favorite,32.936,1531.6,1514.658,14.695,-14.695
2014-01-07,adjusted_elo,Zimbabwe,Gabon,2,0,Friendly,True,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,19.775,1509.888,1490.112,9.888,-9.888
2014-01-15,adjusted_elo,Moldova,Norway,1,2,Friendly,True,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,18.0,1491.0,1509.0,-9.0,9.0
2014-01-17,adjusted_elo,Moldova,Sweden,1,2,Friendly,True,1491.0,1500.0,0.4871,0.0,0.5129,1.0,away,underdog,favorite,18.0,1482.233,1508.767,-8.767,8.767
2014-01-18,adjusted_elo,Norway,Poland,0,3,Friendly,True,1509.0,1500.0,0.5129,0.0,0.4871,1.0,home,favorite,underdog,24.914,1496.22,1512.78,-12.78,12.78
2014-01-20,adjusted_elo,Moldova,Poland,0,1,Friendly,True,1482.233,1512.78,0.4562,0.0,0.5438,1.0,away,underdog,favorite,18.0,1474.022,1520.991,-8.211,8.211
2014-01-21,adjusted_elo,Iceland,Sweden,0,2,Friendly,True,1500.0,1508.767,0.4874,0.0,0.5126,1.0,away,underdog,favorite,19.765,1490.367,1518.4,-9.633,9.633
2014-01-22,adjusted_elo,Chile,Costa Rica,4,0,Friendly,False,1500.0,1500.0,0.5715,1.0,0.4285,0.0,even,even,even,28.97,1512.415,1487.585,12.415,-12.415
2014-01-24,adjusted_elo,Oman,Finland,0,0,Friendly,False,1500.0,1500.0,0.5715,0.5,0.4285,0.5,even,even,even,18.0,1498.714,1501.286,-1.286,1.286
2014-01-25,adjusted_elo,Costa Rica,South Korea,0,1,Friendly,True,1487.585,1500.0,0.4821,0.0,0.5179,1.0,away,underdog,favorite,18.0,1478.907,1508.679,-8.679,8.679
2014-01-29,adjusted_elo,Mexico,South Korea,4,0,Friendly,True,1500.0,1508.679,0.4875,1.0,0.5125,0.0,away,underdog,favorite,28.911,1514.816,1493.862,14.816,-14.816
2014-01-31,adjusted_elo,Oman,Jordan,0,0,AFC Asian Cup qualification,False,1498.714,1514.658,0.5489,0.5,0.4511,0.5,away,underdog,favorite,30.0,1497.248,1516.124,-1.466,1.466
2014-02-01,adjusted_elo,USA,South Korea,2,0,Friendly,False,1500.0,1493.862,0.5801,1.0,0.4199,0.0,home,favorite,underdog,19.768,1508.301,1485.561,8.301,-8.301
2014-02-04,adjusted_elo,Singapore,Jordan,1,3,AFC Asian Cup qualification,False,1500.0,1516.124,0.5486,0.0,0.4514,1.0,away,underdog,favorite,32.929,1481.935,1534.188,-18.065,18.065
2014-02-19,adjusted_elo,Lebanon,Pakistan,3,1,Friendly,False,1500.0,1500.0,0.5715,1.0,0.4285,0.0,even,even,even,19.775,1508.474,1491.526,8.474,-8.474
2014-02-21,adjusted_elo,Iraq,North Korea,2,0,Friendly,True,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,19.775,1509.888,1490.112,9.888,-9.888
2014-02-23,adjusted_elo,Sealand,Chagos Islands,4,2,Friendly,True,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,19.775,1509.888,1490.112,9.888,-9.888
2014-03-01,adjusted_elo,Gibraltar,Faroe Islands,1,4,Friendly,False,1500.0,1500.0,0.5715,0.0,0.4285,1.0,even,even,even,24.953,1485.74,1514.26,-14.26,14.26
2014-03-01,adjusted_elo,Malaysia,Philippines,0,0,Friendly,False,1500.0,1500.0,0.5715,0.5,0.4285,0.5,even,even,even,18.0,1498.714,1501.286,-1.286,1.286
